Year,Lg,Champion,Runner-Up,Finals MVP,Points,Rebounds,Assists,Win Shares,TopWSPlayer,TopWSValue,Era
2025,NBA,Oklahoma City Thunder,Indiana Pacers,S. Gilgeous-Alexander,688,209.0,197,S. Gilgeous-Alexander (3.9),S. Gilgeous-Alexander,3.9,2020s
2024,NBA,Boston Celtics,Dallas Mavericks,J. Brown,635,208.0,178,D. White (2.9),D. White,2.9,2020s
2023,NBA,Denver Nuggets,Miami Heat,N. Jokić,600,269.0,190,N. Jokić (5.0),N. Jokić,5.0,2020s
2022,NBA,Golden State Warriors,Boston Celtics,S. Curry,615,214.0,148,J. Butler (3.8),J. Butler,3.8,2020s
2021,NBA,Milwaukee Bucks,Phoenix Suns,G. Antetokounmpo,634,269.0,199,G. Antetokounmpo (3.7),G. Antetokounmpo,3.7,2020s
2020,NBA,Los Angeles Lakers,Miami Heat,L. James,582,226.0,184,A. Davis (4.5),A. Davis,4.5,2020s
2019,NBA,Toronto Raptors,Golden State Warriors,K. Leonard,732,223.0,187,K. Leonard (4.8),K. Leonard,4.8,2010s
2018,NBA,Golden State Warriors,Cleveland Cavaliers,K. Durant,748,222.0,198,L. James (5.2),L. James,5.2,2010s
2017,NBA,Golden State Warriors,Cleveland Cavaliers,K. Durant,591,191.0,141,L. James (4.3),L. James,4.3,2010s
2016,NBA,Cleveland Cavaliers,Golden State Warriors,L. James,582,228.0,198,L. James (4.7),L. James,4.7,2010s
2015,NBA,Golden State Warriors,Cleveland Cavaliers,A. Iguodala,601,238.0,169,S. Curry (3.9),S. Curry,3.9,2010s
2014,NBA,San Antonio Spurs,Miami Heat,K. Leonard,563,211.0,153,L. James (4.3),L. James,4.3,2010s
2013,NBA,Miami Heat,San Antonio Spurs,L. James,596,214.0,152,L. James (5.2),L. James,5.2,2010s
2012,NBA,Miami Heat,Oklahoma City Thunder,L. James,697,224.0,227,L. James (5.8),L. James,5.8,2010s
2011,NBA,Dallas Mavericks,Miami Heat,D. Nowitzki,582,193.0,153,L. James (3.8),L. James,3.8,2010s
2010,NBA,Los Angeles Lakers,Boston Celtics,K. Bryant,671,255.0,223,P. Gasol (4.3),P. Gasol,4.3,2010s
2009,NBA,Los Angeles Lakers,Orlando Magic,K. Bryant,695,353.0,137,L. James (4.8),L. James,4.8,2000s
2008,NBA,Boston Celtics,Los Angeles Lakers,P. Pierce,633,274.0,172,K. Garnett (4.1),K. Garnett,4.1,2000s
2007,NBA,San Antonio Spurs,Cleveland Cavaliers,T. Parker,501,229.0,159,L. James (3.7),L. James,3.7,2000s
2006,NBA,Miami Heat,Dallas Mavericks,D. Wade,654,268.0,204,D. Nowitzki (5.4),D. Nowitzki,5.4,2000s
2005,NBA,San Antonio Spurs,Detroit Pistons,T. Duncan,542,286.0,170,C. Billups (4.6),C. Billups,4.6,2000s
2004,NBA,Detroit Pistons,Los Angeles Lakers,C. Billups,539,328.0,136,S. O'Neal (3.9),S. O'Neal,3.9,2000s
2003,NBA,San Antonio Spurs,New Jersey Nets,T. Duncan,593,369.0,163,T. Duncan (5.9),T. Duncan,5.9,2000s
2002,NBA,Los Angeles Lakers,New Jersey Nets,S. O'Neal,541,239.0,182,S. O'Neal (3.8),S. O'Neal,3.8,2000s
2001,NBA,Los Angeles Lakers,Philadelphia 76ers,S. O'Neal,723,316.0,134,K. Bryant (3.8),K. Bryant,3.8,2000s
2000,NBA,Los Angeles Lakers,Indiana Pacers,S. O'Neal,707,355.0,178,S. O'Neal (4.7),S. O'Neal,4.7,2000s
1999,NBA,San Antonio Spurs,New York Knicks,T. Duncan,407,195.0,126,T. Duncan (3.7),T. Duncan,3.7,1990s
1998,NBA,Chicago Bulls,Utah Jazz,M. Jordan,680,248.0,155,M. Jordan (4.8),M. Jordan,4.8,1990s
1997,NBA,Chicago Bulls,Utah Jazz,M. Jordan,590,228.0,191,M. Jordan (3.9),M. Jordan,3.9,1990s
1996,NBA,Chicago Bulls,Seattle SuperSonics,M. Jordan,552,247.0,195,M. Jordan (4.7),M. Jordan,4.7,1990s
1995,NBA,Houston Rockets,Orlando Magic,H. Olajuwon,725,250.0,162,S. O'Neal (3.0),S. O'Neal,3.0,1990s
1994,NBA,Houston Rockets,New York Knicks,H. Olajuwon,664,293.0,157,H. Olajuwon (4.3),H. Olajuwon,4.3,1990s
1993,NBA,Chicago Bulls,Phoenix Suns,M. Jordan,666,326.0,182,C. Barkley (4.6),C. Barkley,4.6,1990s
1992,NBA,Chicago Bulls,Portland Trail Blazers,M. Jordan,759,194.0,217,M. Jordan (4.1),M. Jordan,4.1,1990s
1991,NBA,Chicago Bulls,Los Angeles Lakers,M. Jordan,529,177.0,240,M. Jordan (4.8),M. Jordan,4.8,1990s
1990,NBA,Detroit Pistons,Portland Trail Blazers,I. Thomas,587,211.0,170,M. Jordan (4.0),M. Jordan,4.0,1990s
1989,NBA,Detroit Pistons,Los Angeles Lakers,J. Dumars,591,170.0,165,M. Jordan (4.0),M. Jordan,4.0,1980s
1988,NBA,Los Angeles Lakers,Detroit Pistons,J. Worthy,506,221.0,303,M. Johnson (4.0),M. Johnson,4.0,1980s
1987,NBA,Los Angeles Lakers,Boston Celtics,M. Johnson,622,231.0,219,M. Johnson (3.7),M. Johnson,3.7,1980s
1986,NBA,Boston Celtics,Houston Rockets,L. Bird,537,236.0,211,L. Bird (4.2),L. Bird,4.2,1980s
1985,NBA,Los Angeles Lakers,Boston Celtics,K. Abdul-Jabbar,520,219.0,289,M. Johnson (3.0),M. Johnson,3.0,1980s
1984,NBA,Boston Celtics,Los Angeles Lakers,L. Bird,632,252.0,284,L. Bird (4.7),L. Bird,4.7,1980s
1983,NBA,Philadelphia 76ers,Los Angeles Lakers,M. Malone,406,206.0,192,M. Malone (2.8),M. Malone,2.8,1980s
1982,NBA,Los Angeles Lakers,Philadelphia 76ers,M. Johnson,461,189.0,172,J. Erving (3.0),J. Erving,3.0,1980s
1981,NBA,Boston Celtics,Houston Rockets,C. Maxwell,562,305.0,116,M. Malone (3.5),M. Malone,3.5,1980s
1980,NBA,Los Angeles Lakers,Philadelphia 76ers,M. Johnson,479,185.0,151,K. Abdul-Jabbar (3.3),K. Abdul-Jabbar,3.3,1980s
1979,NBA,Seattle SuperSonics,Washington Bullets,D. Johnson,454,266.0,107,G. Williams (2.7),G. Williams,2.7,Pre-1980
1978,NBA,Washington Bullets,Seattle SuperSonics,W. Unseld,457,289.0,106,E. Hayes (3.1),E. Hayes,3.1,Pre-1980
1977,NBA,Portland Trail Blazers,Philadelphia 76ers,B. Walton,518,288.0,104,J. Erving (3.4),J. Erving,3.4,Pre-1980
1976,NBA,Boston Celtics,Phoenix Suns,J. White,408,296.0,98,D. Cowens (2.7),D. Cowens,2.7,Pre-1980
1976,ABA,New York Nets,Denver Nuggets,,451,164.0,77,J. Erving (3.7),J. Erving,3.7,Pre-1980
1975,NBA,Golden State Warriors,Washington Bullets,R. Barry,479,276.0,124,R. Barry (3.1),R. Barry,3.1,Pre-1980
1975,ABA,Kentucky Colonels,Indiana Pacers,,581,286.0,148,A. Gilmore (3.0),A. Gilmore,3.0,Pre-1980
1974,NBA,Boston Celtics,Milwaukee Bucks,J. Havlicek,515,253.0,149,K. Abdul-Jabbar (4.7),K. Abdul-Jabbar,4.7,Pre-1980
1974,ABA,New York Nets,Utah Stars,,420,246.0,109,J. Erving (3.0),J. Erving,3.0,Pre-1980
1973,NBA,New York Knicks,Los Angeles Lakers,W. Reed,401,383.0,132,W. Frazier (3.0),W. Frazier,3.0,Pre-1980
1973,ABA,Indiana Pacers,Kentucky Colonels,,521,260.0,91,D. Issel (3.6),D. Issel,3.6,Pre-1980
1972,NBA,Los Angeles Lakers,New York Knicks,W. Chamberlain,388,315.0,134,W. Frazier (3.3),W. Frazier,3.3,Pre-1980
1972,ABA,Indiana Pacers,New York Nets,,554,302.0,87,J. Erving (2.9),J. Erving,2.9,Pre-1980
1971,NBA,Milwaukee Bucks,Baltimore Bullets,K. Abdul-Jabbar,397,339.0,124,K. Abdul-Jabbar (3.3),K. Abdul-Jabbar,3.3,Pre-1980
1971,ABA,Utah Stars,Kentucky Colonels,,534,263.0,179,D. Issel (3.3),D. Issel,3.3,Pre-1980
1970,NBA,New York Knicks,Los Angeles Lakers,W. Reed,562,399.0,156,J. West (3.2),J. West,3.2,Pre-1980
1970,ABA,Indiana Pacers,Los Angeles Stars,,440,265.0,101,R. Brown (3.6),R. Brown,3.6,Pre-1980
1969,NBA,Boston Celtics,Los Angeles Lakers,J. West,556,444.0,135,J. West (4.3),J. West,4.3,Pre-1980
1969,ABA,Oakland Oaks,Indiana Pacers,,460,237.0,87,R. Brown (3.7),R. Brown,3.7,Pre-1980
1968,NBA,Boston Celtics,Los Angeles Lakers,,493,434.0,142,J. West (3.6),J. West,3.6,Pre-1980
1968,ABA,Pittsburgh Pipers,New Orleans Buccaneers,,419,261.0,129,C. Hawkins (4.0),C. Hawkins,4.0,Pre-1980
1967,NBA,Philadelphia 76ers,San Francisco Warriors,,521,437.0,135,W. Chamberlain (3.8),W. Chamberlain,3.8,Pre-1980
1966,NBA,Boston Celtics,Los Angeles Lakers,,479,428.0,85,B. Russell (3.2),B. Russell,3.2,Pre-1980
1965,NBA,Boston Celtics,Los Angeles Lakers,,447,302.0,76,B. Russell (3.3),B. Russell,3.3,Pre-1980
1964,NBA,Boston Celtics,San Francisco Warriors,,416,302.0,90,W. Chamberlain (3.8),W. Chamberlain,3.8,Pre-1980
1963,NBA,Boston Celtics,Los Angeles Lakers,,424,326.0,116,B. Russell (2.5),B. Russell,2.5,Pre-1980
1962,NBA,Boston Celtics,Los Angeles Lakers,,502,370.0,123,B. Russell (3.6),B. Russell,3.6,Pre-1980
1961,NBA,Boston Celtics,St. Louis Hawks,,457,299.0,91,E. Baylor (2.8),E. Baylor,2.8,Pre-1980
1960,NBA,Boston Celtics,St. Louis Hawks,,365,336.0,116,B. Russell (3.0),B. Russell,3.0,Pre-1980
1959,NBA,Boston Celtics,Minneapolis Lakers,,331,305.0,119,F. Ramsey (2.0),F. Ramsey,2.0,Pre-1980
1958,NBA,St. Louis Hawks,Boston Celtics,,305,221.0,82,C. Hagan (2.7),C. Hagan,2.7,Pre-1980
1957,NBA,Boston Celtics,St. Louis Hawks,,298,244.0,93,B. Pettit (1.7),B. Pettit,1.7,Pre-1980
1956,NBA,Philadelphia Warriors,Fort Wayne Pistons,,289,143.0,60,P. Arizin (2.2),P. Arizin,2.2,Pre-1980
1955,NBA,Syracuse Nationals,Fort Wayne Pistons,,209,141.0,78,D. Schayes (1.8),D. Schayes,1.8,Pre-1980
1954,NBA,Minneapolis Lakers,Syracuse Nationals,,252,171.0,60,G. Mikan (3.5),G. Mikan,3.5,Pre-1980
1953,NBA,Minneapolis Lakers,New York Knicks,,238,185.0,70,G. Mikan (2.0),G. Mikan,2.0,Pre-1980
1952,NBA,Minneapolis Lakers,New York Knicks,,307,207.0,90,G. Mikan (2.4),G. Mikan,2.4,Pre-1980
1951,NBA,Rochester Royals,New York Knicks,,273,196.0,78,B. Wanzer (2.7),B. Wanzer,2.7,Pre-1980
1950,NBA,Minneapolis Lakers,Syracuse Nationals,,376,,56,G. Mikan (3.7),G. Mikan,3.7,Pre-1980
1949,BAA,Minneapolis Lakers,Washington Capitols,,303,,39,G. Mikan (4.2),G. Mikan,4.2,Pre-1980
1948,BAA,Baltimore Bullets,Philadelphia Warriors,,282,,37,C. Simmons (2.5),C. Simmons,2.5,Pre-1980
1947,BAA,Philadelphia Warriors,Chicago Stags,,222,,16,J. Fulks (2.3),J. Fulks,2.3,Pre-1980
